id_Genome	superkingdom	phylum	class	order	family	genus	species	genome
CP000360	2	57723	204432	204433	204434	658061	658062	204669
CP000473	2	57723	332159	332160	332161	332162	332163	234267
CP001472	2	57723	204432	204433	204434	33973	33075	240015
CP002467	2	57723	204432	204433	204434	392733	870903	401053
CP002480	2	57723	204432	204433	204434	940557	940615	1198114
CP002514	2	57723	1562566	0	0	458032	458033	981222
CP003130	2	57723	204432	204433	204434	940557	940614	682795
CP003379	2	57723	204432	204433	204434	392733	392734	926566
AE016822	2	201174	1760	85006	85023	110932	1575	281090
AE016958	2	201174	1760	85007	1762	1763	1764	262316
ENA|AL450380|AL450380.1	2	201174	1760	85007	1762	1763	1769	272631
ENA|AL645882|AL645882.2	2	201174	1760	85011	2062	1883	1902	100226
AM408590	2	201174	1760	85007	1762	1763	1765	410289
AM711867	2	201174	1760	85006	85023	1573	28447	443906
AM849034	2	201174	1760	85006	85023	1573	28447	31964
AM942444	2	201174	1760	85007	1653	1716	43771	504474
AP006618	2	201174	1760	85007	85025	1817	37329	247156
AP008957	2	201174	1760	85007	85025	1827	1833	234621
AP009044	2	201174	1760	85007	1653	1716	1718	340322
AP009256	2	201174	1760	85004	31953	1678	1680	367928
AP010889	2	201174	1760	85004	31953	1678	216816	391904
AP010918	2	201174	1760	85007	1762	1763	1765	561275
AP010968	2	201174	1760	85011	2062	2063	2066	452652
AP011115	2	201174	1760	85007	85025	1827	37919	632772
AP011540	2	201174	1760	85006	1268	32207	43675	680646
AP012057	2	201174	84992	84993	84994	682522	467094	1313172
AP012204	2	201174	1760	85009	31957	29404	29405	1032480
AP012211	2	201174	84998	1643822	1643826	84111	502558	502558
AP012340	2	201174	1760	85007	1762	1763	1773	652616
BA000035	2	201174	1760	85007	1653	1716	152794	196164
ENA|CM000636|CM000636.1	2	201174	1760	85007	1762	1763	1768	557599
ENA|CM000789|CM000789.2	2	201174	1760	85007	1762	1763	1773	663886
CP000088	2	201174	1760	85012	83676	83677	2021	269800
CP000303	2	201174	1760	85004	31953	1678	1685	326426
CP000325	2	201174	1760	85007	1762	1763	1809	362242
CP000384	2	201174	1760	85007	1762	1763	164756	164756
CP000386	2	201174	84995	84996	84997	42255	49319	266117
CP000479	2	201174	1760	85007	1762	1763	1764	243243
CP000481	2	201174	1760	1643683	85032	28048	28049	351607
CP000509	2	201174	1760	85009	85015	1839	196162	196162
CP000518	2	201174	1760	85007	1762	1763	189918	189918
CP000580	2	201174	1760	85007	1762	1763	164757	164757
CP000611	2	201174	1760	85007	1762	1763	1773	419947
CP000656	2	201174	1760	85007	1762	1763	1804	350054
CP000667	2	201174	1760	85008	28056	168694	168695	369723
CP000820	2	201174	1760	85013	74712	1854	298653	298653
CP001095	2	201174	1760	85004	31953	1678	216816	391904
CP001361	2	201174	1760	85004	31953	1678	1681	484020
CP001601	2	201174	1760	85007	1653	1716	169292	548476
CP001606	2	201174	1760	85004	31953	1678	28025	555970
CP001618	2	201174	1760	85006	125316	84756	84757	471853
CP001620	2	201174	1760	85007	1653	1716	161879	645127
CP001684	2	201174	84998	1643822	1643826	84108	84110	471855
CP001686	2	201174	1760	85006	145357	57499	1276	478801
CP001700	2	201174	1760	414714	414877	414878	304895	479433
CP001721	2	201174	84998	84999	1643824	1380	1382	521095
CP001738	2	201174	1760	85012	2012	2019	2020	471852
CP001750	2	201174	1760	85004	31953	1678	1689	401473
CP001802	2	201174	1760	85007	85026	2053	2054	526226
CP001819	2	201174	1760	85006	145360	60919	60920	446469
CP001829	2	201174	1760	85007	1653	1716	1719	681645
CP001849	2	201174	1760	85004	31953	2701	2702	553190
CP001853	2	201174	1760	85004	31953	1678	28025	552531
CP001854	2	201174	1497346	588673	320583	191494	191495	469383
CP001874	2	201174	1760	0	0	147067	2006	469371
CP001892	2	201174	1760	85004	31953	1678	28025	573236
CP001964	2	201174	1760	85006	85016	1707	1711	446466
CP001976	2	201174	1760	85007	1762	1763	1773	478435
CP001992	2	201174	1760	2037	2049	2050	2051	548479
CP002000	2	201174	1760	85010	2070	1813	33910	749927
CP002095	2	201174	1760	85007	1762	1763	1765	717522
CP002097	2	201174	1760	85007	1653	1716	1719	765874
CP002104	2	201174	1760	85004	31953	2701	2702	525284
CP002106	2	201174	84998	84999	1643824	133925	133926	633147
CP002220	2	201174	1760	85004	31953	1678	1681	883062
CP002275	2	201174	1760	85007	1762	1763	35617	1232724
CP002280	2	201174	1760	85006	1268	32207	2047	762948
CP002286	2	201174	1760	85004	31953	1678	216816	890402
CP002299	2	201174	1760	85013	74712	1854	298654	298654
CP002329	2	201174	1760	85007	1762	1763	875328	875328
CP002385	2	201174	1760	85007	1762	1763	1804	278137
CP002567	2	201174	1760	85004	31953	1678	28025	703613
CP002593	2	201174	1760	85010	2070	1847	240495	675635
CP002638	2	201174	1760	85008	28056	84593	1003110	263358
CP002665	2	201174	1760	85006	85016	1707	11	593907
CP002725	2	201174	1760	85004	31953	2701	2702	1009464
CP002743	2	201174	1760	85004	31953	1678	1685	866777
CP002786	2	201174	1760	85007	1762	697025	639313	443218
CP002791	2	201174	1760	85007	1653	1716	65058	945712
CP002794	2	201174	1760	85004	31953	1678	216816	1035817
CP002907	2	201174	1760	85007	85026	2053	337191	337191
CP002917	2	201174	1760	85007	1653	1716	1727	858619
CP002992	2	201174	1760	85007	1762	1763	1773	707235
CP002993	2	201174	1760	85011	2062	1883	862751	862751
CP002994	2	201174	1760	85011	2062	1883	68280	653045
CP003039	2	201174	1760	85004	31953	1678	28025	1075106
CP003053	2	201174	1760	85007	1762	1763	1800	710421
CP003061	2	201174	1760	85007	1653	1716	1719	935697
CP003084	2	201174	1760	85009	31957	1743	1747	1091045
CP003119	2	201174	1760	85007	85026	2053	84595	1112204
CP003152	2	201174	1760	85007	1653	1716	1719	1087452
CP003169	2	201174	1760	85007	1762	1763	36814	710685
CP003195	2	201174	1760	85009	31957	1743	1747	1114966
CP003196	2	201174	1760	85009	31957	1743	1747	1114967
CP003197	2	201174	1760	85009	31957	1743	1747	1114969
CP003203	2	201174	1760	85006	1268	1663	1118963	1118963
CP003211	2	201174	1760	85007	1653	1716	1717	698965
CP003213	2	201174	1760	85007	1653	1716	1717	698968
CP003214	2	201174	1760	85007	1653	1716	1717	698969
CP003215	2	201174	1760	85007	1653	1716	1717	698970
CP003219	2	201174	1760	85011	2062	1883	29303	1003195
CP003233	2	201174	1760	85007	1762	1763	1773	1091500
CP003293	2	201174	1760	85009	31957	1743	1747	1134454
CP003322	2	201174	1760	85007	1762	1763	1767	487521
CP003323	2	201174	1760	85007	1762	1763	1767	1138382
CP003324	2	201174	1760	85007	1762	1763	1767	1138383
CP003421	2	201174	1760	85007	1653	1716	1719	1087451
CP003497	2	201174	1760	85004	31953	1678	28025	1168290
CP003652	2	201174	1760	85007	1653	1716	1719	1161911
CP003697	2	201174	1760	85007	1653	1716	225326	1121362
CP003699	2	201174	1760	85007	1762	1763	36809	1198627
CP003720	2	201174	1760	85011	2062	1883	1912	1203460
CP003788	2	201174	1760	85012	83676	2013	53437	1205910
CP003877	2	201174	1760	85009	31957	1743	1747	1234380
CP003900	2	201174	1760	85007	1762	1763	1765	1206780
CP003990	2	201174	1760	85011	2062	1883	1265601	1265601
CP004085	2	201174	1760	85007	1653	1716	43771	1267754
CP004346	2	201174	1760	85004	31953	1678	33905	1254439
CP004886	2	201174	1760	85007	1762	1763	1773	1304279
CP005082	2	201174	1760	85007	1762	1763	1773	1306400
CP005287	2	201174	1760	85009	31957	1743	33010	1170318
CP005386	2	201174	1760	85007	1762	1763	1773	1310114
CP005928	2	201174	1760	85007	1762	1763	1764	1199187
CP005929	2	201174	1760	85008	28056	1865	649831	649831
CT573213	2	201174	1760	85013	74712	1854	1859	326424
CU458896	2	201174	1760	85007	1762	1763	36809	561007
FM211192	2	201174	1760	85007	1762	1763	1769	561304
FN563149	2	201174	1760	85007	85025	1827	43767	685727
FN806773	2	201174	1760	85009	31957	1743	1744	754252
FO203431	2	201174	1760	1643682	85030	88138	477641	477641
FO203507	2	201174	1760	85007	1762	1763	78331	1205676
FO203509	2	201174	1760	85007	1762	1763	78331	1205674
FP929034	2	201174	1760	85004	31953	1678	216816	722911
FP929047	2	201174	84998	1643822	1643826	644652	471189	657308
FQ311875	2	201174	1760	85006	1268	1742989	256701	861360
FR878060	2	201174	1760	85007	1762	1763	33894	572418
HE572590	2	201174	1760	85007	1762	1763	78331	1048245
HE608151	2	201174	1760	85007	1762	1763	1773	1097669
HE802067	2	201174	1760	85007	1653	1716	1718	1204414
HE971709	2	201174	1760	85011	2062	1883	348043	1214101
AP006841	2	976	200643	171549	815	816	817	295405
CP000383	2	976	768503	768507	89373	978	985	269798
CP001673	2	976	117743	200644	49546	0	531844	531844
CP001681	2	976	117747	200666	84566	84567	984	485917
CP001699	2	976	1853228	1853229	563835	79328	79329	485918
CP001807	2	976	0	1100069	563843	29548	29549	518766
CP002006	2	976	200643	171549	171552	838	839	264731
CP002122	2	976	200643	171549	171552	838	28132	553174
CP002123	2	976	200643	171549	171552	838	28132	553174
CP002305	2	976	768503	768507	89373	319458	316068	649349
CP002352	2	976	200643	171549	815	816	290053	693979
CP002453	2	976	117743	200644	49546	104264	59600	688270
CP002455	2	976	117743	200644	49546	1013	1014	865938
CP002528	2	976	117743	200644	49546	326319	983548	983548
CP002530	2	976	200643	171549	815	816	376805	667015
CP002534	2	976	117743	200644	49546	104264	979	867900
CP002542	2	976	117743	200644	1853230	332102	191579	755732
CP002544	2	976	200643	171549	1853231	283168	28118	709991
CP002545	2	976	117747	200666	84566	1649482	151895	762903
CP002589	2	976	200643	171549	171552	838	28129	767031
CP002691	2	976	1853228	1853229	89374	2349	2350	760192
CP002859	2	976	768503	768507	89373	105	106	761193
CP002955	2	976	768503	768507	563798	68288	104	880070
CP003280	2	976	117743	200644	49546	153265	101385	746697
CP003283	2	976	117743	200644	49546	28250	28251	867902
CP003346	2	976	768503	768507	563798	390846	390884	926556
CP003349	2	976	117747	200666	84566	929509	995	929556
CP003388	2	976	117743	200644	49546	34084	34085	693978
CP003787	2	976	117743	200644	49546	34084	34085	1228997
CP003879	2	976	117743	200644	49546	83612	57029	313595
CR626927	2	976	200643	171549	815	816	817	272559
CU207366	2	976	117743	200644	49546	292691	411153	411154
FP929032	2	976	200643	171549	171550	239759	328814	717959
FQ312004	2	976	200643	171549	815	816	817	862962
FQ859183	2	976	117743	200644	49546	237	55197	1034807
HE774682	2	976	117743	200644	49546	237	312277	1094466
AE006470	2	1090	191410	191411	191412	256319	1097	194439
CP000096	2	1090	191410	191411	191412	1099	1100	319225
CP000108	2	1090	191410	191411	191412	1091	337090	340177
CP000492	2	1090	191410	191411	191412	1091	1096	290317
CP000607	2	1090	191410	191411	191412	1091	1094	290318
CP001097	2	1090	191410	191411	191412	1091	1092	290315
CP001099	2	1090	191410	191411	191412	256319	274539	517417
CP001100	2	1090	191410	191411	191412	100715	100716	517418
CP001101	2	1090	191410	191411	191412	1091	1096	331678
CP001108	2	1090	191410	191411	191412	1101	1102	290512
CP001110	2	1090	191410	191411	191412	1099	34090	324925
AJ965256	2	200795	301297	1202465	1202464	61434	61435	255470
AP012029	2	200795	292625	292629	292628	233189	167964	926569
AP012337	2	200795	475962	475963	475964	233191	133453	926550
CP000027	2	200795	301297	1202465	1202464	61434	61435	243164
CP000686	2	200795	32061	32064	1508635	120961	357808	357808
CP000688	2	200795	301297	1202465	1202464	61434	61435	216389
CP000804	2	200795	32061	32064	1508635	120961	120962	383372
CP000875	2	200795	32061	189772	189773	64	65	316274
CP000909	2	200795	32061	32064	1106	1107	1108	324602
CP001275	2	200795	189775	189776	189777	499	500	309801
CP001337	2	200795	32061	32064	1106	1107	152260	326427
CP001364	2	200795	32061	32064	1106	1107	480224	480224
CP001823	2	200795	189775	85001	85002	2056	2057	479434
CP001824	2	200795	189775	85001	85002	2056	2057	479434
CP001827	2	200795	301297	1202465	1202464	61434	61435	311424
CP001924	2	200795	301297	1202465	1202464	61434	61435	633145
CP002084	2	200795	301297	0	0	670486	552810	552811
CP004079	2	200795	301297	1202465	1202464	61434	61435	1193807
CP004080	2	200795	301297	1202465	1202464	61434	61435	1193806
AE006641	2157	28889	183924	2281	118883	2284	2287	273057
AE009441	2157	28889	183924	2266	2267	2276	13773	178306
BA000002	2157	28889	183924	114380	2272	56635	56636	272557
BA000023	2157	28889	183924	2281	118883	2284	111955	273063
CP000077	2157	28889	183924	2281	118883	2284	2285	330779
CP000493	2157	28889	183924	114380	2307	54247	54248	415426
CP000504	2157	28889	183924	2266	2267	2276	2277	384616
CP000505	2157	28889	183924	2266	114378	2268	2269	368408
CP000561	2157	28889	183924	2266	2267	2276	181486	410359
CP000575	2157	28889	183924	114380	2272	2279	2280	399550
CP000660	2157	28889	183924	2266	2267	2276	121277	340102
CP000682	2157	28889	183924	2281	118883	41980	43687	399549
CP000816	2157	28889	183924	114380	2272	54258	160233	453591
CP000852	2157	28889	183924	2266	2267	76886	76887	397948
CP001014	2157	28889	183924	2266	2267	2276	70771	444157
CP001140	2157	28889	183924	114380	2272	2273	477693	490899
CP001399	2157	28889	183924	2281	118883	2284	43080	429572
CP001400	2157	28889	183924	2281	118883	2284	43080	427317
CP001401	2157	28889	183924	2281	118883	2284	43080	427318
CP001402	2157	28889	183924	2281	118883	2284	43080	426118
CP001403	2157	28889	183924	2281	118883	2284	43080	439386
CP001404	2157	28889	183924	2281	118883	2284	43080	419942
CP001731	2157	28889	183924	2281	118883	2284	43080	425944
CP001742	2157	28889	183924	871006	871007	105850	242703	666510
CP001800	2157	28889	183924	2281	118883	2284	2287	555311
CP001939	2157	28889	183924	114380	2272	54253	54254	633148
CP002051	2157	28889	183924	114380	2272	2279	84599	591019
CP002098	2157	28889	183924	114380	2272	334767	334771	583356
CP002100	2157	28889	183924	2266	2267	164450	164451	572478
CP002363	2157	28889	183924	114380	2272	2273	2275	765177
CP002425	2157	28889	183924	2281	118883	2284	43080	930945
CP002426	2157	28889	183924	2281	118883	2284	43080	930943
CP002529	2157	28889	183924	2266	2267	164450	985052	985053
CP002535	2157	28889	183924	2281	118883	12914	563177	933801
CP002590	2157	28889	183924	2266	2267	2270	184117	999630
CP002656	2157	28889	183924	2281	118883	41980	1006005	1006006
CP002817	2157	28889	183924	2281	118883	2284	2285	1028566
CP002818	2157	28889	183924	2281	118883	2284	2285	1028567
CP002838	2157	28889	183924	114380	2307	54251	54252	694429
CP003098	2157	28889	183924	2266	2267	2276	1104324	1104324
CP003316	2157	28889	183924	2266	2267	2276	99007	698757
CP003321	2157	28889	183924	114380	2272	2273	228748	768672
CP003378	2157	28889	183924	871006	255472	200414	200415	1056495
CP003423	2157	28889	183924	685948	685949	685950	683846	1163730
CP003531	2157	28889	183924	114380	2272	477695	1200300	1184251
CP003928	2157	28889	183924	2281	118883	2284	43080	1241935
FN869859	2157	28889	183924	2266	2267	2270	2271	768679
AE017126	2	1117	0	1890424	1213	1218	1219	167539
AP008231	2	1117	0	1890424	1890426	1129	32046	269084
AP009552	2	1117	0	1118	1890449	1125	1126	449447
AP011615	2	1117	0	1150	1892252	35823	118562	696747
AP012276	2	1117	0	1890424	1890428	1142	1148	1080228
AP012277	2	1117	0	1890424	1890428	1142	1148	1080229
AP012278	2	1117	0	1890424	1890428	1142	1148	1080230
AP012495	2	1239	91061	1385	186817	1386	1423	1204343
BA000019	2	1117	0	1161	1162	1177	103690	103690
BA000022	2	1117	0	1890424	1890428	1142	1148	1148
BA000039	2	1117	0	1890424	1890426	146785	146786	197221
BA000045	2	1117	307596	307595	1890422	33071	33072	251221
ENA|BX548020|BX548020.1	2	1117	0	1890424	1890426	1129	84588	84588
BX548174	2	1117	0	1890424	1213	1218	1219	59919
BX548175	2	1117	0	1890424	1213	1218	1219	74547
CP000095	2	1117	0	1890424	1213	1218	1219	59920
CP000097	2	1117	0	1890424	1890426	1129	316279	316279
CP000100	2	1117	0	1890424	1890426	1129	32046	1140
CP000110	2	1117	0	1890424	1890426	1129	110662	110662
CP000111	2	1117	0	1890424	1213	1218	1219	74546
CP000117	2	1117	0	1161	1162	1163	1172	240292
CP000239	2	1117	0	1890424	1890426	1129	321327	321327
CP000240	2	1117	0	1890424	1890426	1129	321332	321332
CP000393	2	1117	0	1150	1892252	1205	1206	203124
CP000435	2	1117	0	1890424	1890426	1129	64471	64471
CP000551	2	1117	0	1890424	1213	1218	1219	146891
CP000552	2	1117	0	1890424	1213	1218	1219	167542
CP000553	2	1117	0	1890424	1213	1218	1219	167555
CP000554	2	1117	0	1890424	1213	1218	1219	59922
CP000576	2	1117	0	1890424	1213	1218	1219	167546
CP000806	2	1117	0	1150	1892249	43988	43989	43989
CP000825	2	1117	0	1890424	1213	1218	1219	93060
CP000828	2	1117	0	1890424	1890429	155977	155978	329726
CP000878	2	1117	0	1890424	1213	1218	1219	93059
CP000951	2	1117	0	1890424	1890426	1129	32049	32049
CP001037	2	1117	0	1161	1162	1177	272131	63737
CP001287	2	1117	0	1150	1892249	43988	41431	41431
CP001291	2	1117	0	1150	1892249	43988	65393	65393
CP001344	2	1117	0	1150	1892249	43988	395961	395961
CP001701	2	1117	0	1150	1892249	43988	395962	395962
CP001842	2	1117	0	1118	1890450	1453359	713887	1453429
CP002059	2	1117	0	1161	1162	264688	1164	551115
CP002198	2	1117	0	1150	1892249	43988	497965	497965
CP003265	2	1117	0	1890424	1890428	1142	1148	1148
CP003495	2	1117	0	1890424	1890426	167375	59930	292564
CP003548	2	1117	0	1161	1162	1177	317936	317936
CP003549	2	1117	0	1161	1185	373984	373994	373994
CP003552	2	1117	0	1161	1162	1177	28072	28072
CP003558	2	1117	0	1890424	1890426	1129	195253	195253
CP003590	2	1117	0	52604	1890500	44474	54308	118163
CP003591	2	1117	0	1150	1892251	63132	1173025	1173025
CP003592	2	1117	0	1890424	1890436	1152	82654	82654
CP003594	2	1117	0	1890424	1890426	1129	1173263	1173263
CP003597	2	1117	0	1890505	1890528	54298	54299	251229
CP003600	2	1117	0	1890424	1890431	217161	1173032	1173020
CP003607	2	1117	0	1150	1892254	1158	118323	56110
CP003610	2	1117	0	1161	1185	1186	32054	1170562
CP003614	2	1117	0	1150	1892254	1158	482564	179408
CP003620	2	1117	0	1150	1892255	241421	241425	1173022
CP003630	2	1117	0	1150	1892252	44471	1173027	1173027
CP003642	2	1117	0	1161	1162	56106	142864	56107
CP003646	2	1117	0	1118	1890464	102231	1173026	1173026
CP003653	2	1117	0	52604	1890498	102115	102116	111780
CP003659	2	1117	0	1161	1162	1163	1165	272123
CP003940	2	1117	0	1118	1890452	102234	102235	292563
CP003943	2	1117	0	1161	1185	1186	99598	99598
CP003944	2	1117	0	1890424	1890426	13034	292566	13035
CP003945	2	1117	0	1118	1890450	76023	65093	65093
CP003946	2	1117	0	1890424	1890438	47251	111781	111781
CP003947	2	1117	0	1118	1890452	102234	379064	755178
CT971583	2	1117	0	1890424	1890426	1129	32051	32051
CT978603	2	1117	0	1890424	1890426	1129	316278	316278
AP009510	2	74152	0	0	0	0	167965	471821
CP001055	2	74152	641853	641854	641876	423604	423605	445932
AE000666	2157	28890	183925	2158	2159	145260	145262	187420
AE004437	2157	28890	183963	2235	2236	2239	2242	64091
AE009950	2157	28890	183968	2258	2259	2260	2261	186497
AE010299	2157	28890	224756	94695	2206	2207	2214	188937
AE017261	2157	28890	183967	2301	46630	46631	82076	263820
AM114193	2157	28890	224756	570264	570265	570266	1175445	351160
AM180088	2157	28890	183963	1644055	1644056	293431	293091	362976
AP006878	2157	28890	183968	2258	2259	2263	311400	69014
AP011532	2157	28890	224756	570264	570265	570266	570267	304371
AY596297	2157	28890	183963	2235	2236	2237	2238	272569
BA000001	2157	28890	183968	2258	2259	2260	53953	70601
CP000099	2157	28890	224756	94695	2206	2207	2208	269797
CP000254	2157	28890	224756	2191	196137	2202	2203	323259
CP000559	2157	28890	224756	2191	88404	2192	83984	410358
CP000743	2157	28890	183939	2182	2183	2184	42879	419665
CP000780	2157	28890	224756	2191	1198451	395331	358766	456442
CP000855	2157	28890	183968	2258	2259	2263	342948	523850
CP001365	2157	28890	183963	1644055	1644056	56688	2247	416348
CP001398	2157	28890	183968	2258	2259	2263	187878	593117
CP001696	2157	28890	183939	2182	196117	196118	83171	573064
CP001710	2157	28890	183925	2158	2159	145260	145263	79929
CP001860	2157	28890	183963	1644060	1644061	121871	62320	543526
CP001899	2157	28890	183980	2231	2232	54260	54261	589924
CP001932	2157	28890	183963	1644060	1644061	63742	13769	547559
CP001941	2157	28890	0	0	0	379546	379547	439481
CP002101	2157	28890	224756	94695	2206	196136	39669	679901
CP002278	2157	28890	183925	2158	2178	2179	2180	523846
CP002551	2157	28890	183925	2158	2159	2160	877455	877455
CP002772	2157	28890	183925	2158	2159	2160	868131	868131
CP002839	2157	28890	183963	1644060	1644061	387342	387343	797210
CP002913	2157	28890	183939	2182	2183	2184	39152	1053692
CP002916	2157	28890	183967	2301	0	0	1054217	1054217
CP002920	2157	28890	183968	2258	2259	2263	1042877	1042877
CP002952	2157	28890	183968	2258	2259	2263	246969	246969
CP003117	2157	28890	224756	94695	143067	2222	301375	1110509
CP003243	2157	28890	224756	570264	570265	570266	1175444	1041930
CP003372	2157	28890	183963	1644060	1644061	88723	69525	797303
CP003377	2157	28890	183963	1644060	1644061	2256	44930	797304
CP003412	2157	28890	183963	1644060	1644061	88723	406552	406552
CP003534	2157	28890	183968	2258	2259	2260	1183377	1183377
CP003685	2157	28890	183968	2258	2259	2260	2261	1185654
CP005290	2157	28890	183980	2231	2232	2233	1316941	387631
CR936257	2157	28890	183963	2235	2236	63743	2257	348780
FR746099	2157	28890	183963	1644055	1644056	293431	293091	768065
L77117	2157	28890	183939	2182	196117	196118	2190	243232
AE004092	2	1239	91061	186826	1300	1301	1314	160490
AE005176	2	1239	91061	186826	1300	1357	1358	272623
AE016879	2	1239	91061	1385	186817	1386	1392	198094
AE017225	2	1239	91061	1385	186817	1386	1392	260799
AE017262	2	1239	91061	1385	186820	1637	1639	265669
AM406671	2	1239	91061	186826	1300	1357	1358	416870
AP006840	2	1239	186801	186802	543349	2733	2734	292459
AP008955	2	1239	91061	1385	186822	55080	1393	358681
AP008971	2	1239	1737404	1737405	1570339	150022	1260	334413
AP009333	2	1239	91061	186826	1300	1357	1363	420890
AP009484	2	1239	91061	1385	90964	69965	69966	458233
AP012027	2	1239	526524	526525	128827	1647	1648	650150
AP012281	2	1239	91061	186826	1300	1357	1358	1046624
BA000004	2	1239	91061	1385	186817	1386	86665	272558
ENA|CM000748|CM000748.1	2	1239	91061	1385	186817	1386	1428	527025
CP000002	2	1239	91061	1385	186817	1386	1402	279010
CP000154	2	1239	91061	1385	186822	44249	1406	349520
CP000422	2	1239	91061	186826	33958	1253	1255	278197
CP000557	2	1239	91061	1385	186817	129337	33940	420246
CP000612	2	1239	186801	186802	186807	1562	59610	349161
CP000679	2	1239	186801	68295	543371	44000	44001	351627
CP000721	2	1239	186801	186802	31979	1485	1520	290402
CP000813	2	1239	91061	1385	186817	1386	1408	315750
CP000860	2	1239	186801	186802	186807	471826	471827	477974
CP000885	2	1239	186801	186802	186803	1506553	66219	357809
CP000922	2	1239	91061	1385	186817	150247	33934	491915
CP001022	2	1239	91061	1385	0	33986	332410	262543
CP001034	2	1239	186801	485256	485255	375928	375929	457570
CP001098	2	1239	186801	53433	972	32636	31909	373903
CP001107	2	1239	186801	186802	186803	0	39491	515619
CP001145	2	1239	186801	68295	227387	68335	35786	309798
CP001336	2	1239	186801	186802	186807	36853	49338	272564
CP001393	2	1239	186801	68295	543371	44000	31899	521460
CP001638	2	1239	91061	1385	186817	129337	471223	471223
CP001791	2	1239	91061	1385	186821	0	85683	439292
CP001794	2	1239	91061	1385	186817	129337	544556	544556
CP001810	2	1239	186801	186802	186803	830	43305	515622
CP001834	2	1239	91061	186826	1300	1357	1358	684738
CP001845	2	1239	91061	186826	1300	1301	1313	697283
CP001982	2	1239	91061	1385	186817	1386	1404	592022
CP002017	2	1239	91061	1385	186823	1129704	33943	562970
CP002028	2	1239	186801	186802	186807	278993	863643	635013
CP002048	2	1239	186801	186802	68298	129001	86170	643648
CP002091	2	1239	91061	1385	186817	1386	1392	768494
CP002207	2	1239	91061	1385	186817	1386	1452	720555
CP002210	2	1239	186801	68295	186814	1754	573062	573062
CP002213	2	1239	91061	1385	186822	44249	1406	886882
CP002216	2	1239	186801	68295	543371	44000	55205	632518
CP002219	2	1239	186801	68295	543371	44000	413888	632292
CP002293	2	1239	91061	1385	186817	129337	581103	581103
CP002326	2	1239	186801	68295	543371	44000	52765	632335
CP002344	2	1239	186801	186802	539000	73918	73919	644966
CP002365	2	1239	91061	186826	1300	1357	1358	929102
CP002400	2	1239	186801	186802	541000	253238	253239	663278
CP002403	2	1239	186801	186802	541000	1263	1264	697329
CP002442	2	1239	91061	1385	186817	129337	550542	550542
CP002512	2	1239	91061	186826	186827	1375	1376	866775
CP002547	2	1239	186801	186802	186807	51196	51197	645991
CP002627	2	1239	91061	1385	186817	1386	1390	999891
CP002634	2	1239	91061	1385	186817	1386	1390	1001582
CP002637	2	1239	909932	909929	1843491	970	69823	546271
CP002736	2	1239	186801	186802	186807	1562	1565	868595
CP002739	2	1239	186801	68295	543371	28895	29329	858215
CP002770	2	1239	186801	186802	186807	1562	58135	760568
CP002835	2	1239	91061	1385	186817	129337	1426	634956
CP002898	2	1239	91061	186826	81850	1243	979982	979982
CP002987	2	1239	186801	186802	186806	33951	33952	931626
CP002991	2	1239	186801	68295	186814	1754	46354	697303
CP003001	2	1239	186801	68295	543371	44000	52766	632516
CP003017	2	1239	91061	1385	186817	1386	1404	1006007
CP003040	2	1239	186801	186802	186803	841	301301	585394
CP003056	2	1239	91061	1385	186817	1386	1398	345219
CP003101	2	1239	91061	186826	81850	1243	1245	1107880
CP003107	2	1239	91061	1385	186822	44249	159743	985665
CP003108	2	1239	186801	186802	186807	79206	1563	768706
