level	TN	TP	FN	FP	TPR(sens)	TNR(spec)	ACC	MCC
superkingdom	1693156	39990229	0	22663	1	0.9867917304	0.9994566016	0.9930925531
phylum	1693156	39934414	8682	69796	0.9997826408	0.9604095857	0.9981183065	0.9765339223
class	1693156	39924189	15560	73143	0.9996104132	0.9585896839	0.9978731382	0.9735102604
order	1693156	39901715	31980	79197	0.9991991725	0.955315335	0.9973342715	0.966917403
family	1693156	39869959	57779	85154	0.9985529108	0.9521152105	0.9965728472	0.9577426465
genus	1693156	39509716	367925	135251	0.9907736518	0.9260279577	0.9879351791	0.866034063
species	1693156	36985713	2817489	209690	0.9292145139	0.8898019072	0.9274163066	0.5502872838
subspecies	1693156	32968580	6609867	434445	0.8329932703	0.7958052285	0.8310961518	0.3464774256
superkingdom	1676685	39525663	0	22753	1	0.9866114563	0.999448079	0.9929974012
phylum	1676685	39470162	8895	69359	0.9997746907	0.9602764879	0.9981017875	0.9763712336
class	1676685	39459672	15837	72907	0.9995988145	0.9583291419	0.9978473309	0.9732409509
order	1676685	39436974	32495	78947	0.9991767054	0.955032148	0.997296744	0.9665200602
family	1676685	39405391	58191	84834	0.9985254506	0.9518404286	0.9965306331	0.9573124986
genus	1676685	39049176	364826	134414	0.9907437463	0.9257831847	0.9878899023	0.8657921011
species	1676685	36548029	2791264	209123	0.9290464117	0.8891069504	0.9272194142	0.5498847821
subspecies	1676686	32580989	6539886	427540	0.8328287391	0.7968184026	0.830990687	0.3468880104
superkingdom	1717793	40569948	0	23173	1	0.9866895735	0.9994523163	0.9930389275
phylum	1717793	40513582	8688	70851	0.9997855994	0.9603884283	0.9981201304	0.9765582408
class	1717793	40503110	15686	74325	0.999612871	0.9585267265	0.9978726293	0.9735063036
order	1717793	40480113	32336	80672	0.9992018256	0.95514397	0.9973291052	0.9668582382
family  1717793	40447844	58558	86719	0.998554352	0.9519432401	0.9965664415	0.9576693814
genus 1717793	40080432	374976	137713	0.990731128	0.925781431	0.9878828191	0.8655381806
species	1717793	37519880	2859185	214056	0.9291914015	0.8891963088	0.9273652892	0.5500071689
subspecies	1717794	33444175	6708156	440789	0.8329323396	0.7957970576	0.8310378027	0.3464101204
