#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	66.89064	13.2942368346	3060646	40688953
k__Archaea	33.10936	6.58034923868	1717866	11304158
k__Archaea|p__Euryarchaeota	17.20677	3.41977412911	1954104	6682594
k__Bacteria|p__Proteobacteria	17.04117	3.38686278208	3135748	10620348
k__Bacteria|p__Thermotogae	12.43387	2.47117962809	2241956	5540276
k__Archaea|p__Crenarchaeota	8.97337	1.78341993715	1458856	2601753
k__Bacteria|p__Chlorobi	7.23851	1.43862427897	2655052	3819622
k__Archaea|p__Nanoarchaeota	6.92923	1.37715517241	490885	676025
k__Bacteria|p__Aquificae	6.26095	1.24433811222	1772938	2206134
k__Bacteria|p__Firmicutes	4.73315	0.940694068503	2645593	2488694
k__Bacteria|p__Planctomycetes	3.65444	0.726303910798	6372307	4628231
k__Bacteria|p__Gemmatimonadetes	2.37241	0.471507561467	4636964	2186364
k__Bacteria|p__Acidobacteria	2.16315	0.429917595406	5918510	2544472
k__Bacteria|p__Bacteroidetes	1.93664	0.384899396309	4234739	1629948
k__Bacteria|p__Chloroflexi	1.68556	0.334998045936	4847146	1623784
k__Bacteria|p__Deinococcus_Thermus	1.67475	0.332849856817	2916300	970690
k__Bacteria|p__Spirochaetes	1.4474	0.287664979657	3362661	967320
k__Bacteria|p__Dictyoglomi	1.25883	0.250186928625	1907773	477300
k__Bacteria|p__Actinobacteria	1.13216	0.22501287589	3230214	726840
k__Bacteria|p__Verrucomicrobia	0.91231	0.181317434322	5174086	938152
k__Bacteria|p__Cyanobacteria	0.63429	0.126062362415	5214996	657415
k__Bacteria|p__Fusobacteria	0.31104	0.0618170171075	2684168	165927
k__Bacteria|p__Thermotogae|c__Thermotogae	12.43387	2.47117962809	2241956	5540276
k__Archaea|p__Crenarchaeota|c__Thermoprotei	8.97337	1.78341993715	1749818	3120660
k__Bacteria|p__Chlorobi|c__Chlorobia	7.23851	1.43862427897	2655052	3819622
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeota_noname	6.92923	1.37715517241	490885	676025
k__Bacteria|p__Aquificae|c__Aquificae	6.26095	1.24433811222	1772938	2206134
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5.93577	1.17971011447	3693177	4356878
k__Archaea|p__Euryarchaeota|c__Thermococci	5.59533	1.11204871057	1874544	2084584
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5.21908	1.03727103092	3060202	3174259
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4.18049	0.830855302752	4319058	3588512
k__Bacteria|p__Firmicutes|c__Clostridia	3.68082	0.731548092836	2874996	2103198
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3.65444	0.726303910798	8941389	6494166
k__Archaea|p__Euryarchaeota|c__Methanococci	3.31321	0.658486017295	1697154	1117552
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	3.13067	0.622207127435	2062870	1283532
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	2.37241	0.471507561467	4636964	2186364
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2.16315	0.429917595406	4854087	2086857
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1.93664	0.384899396309	3794378	1460454
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	1.9236	0.382307434642	1326518	507138
k__Bacteria|p__Chloroflexi|c__Chloroflexi	1.68556	0.334998045936	5620719	1882930
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	1.67475	0.332849856817	2916300	970690
k__Archaea|p__Euryarchaeota|c__Methanopyri	1.63684	0.325314300207	1694969	551398
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1.4474	0.287664979657	3362661	967320
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	1.25883	0.250186928625	1907773	477300
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.16885	0.232304624854	2003141	465339
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.13216	0.22501287589	3230214	726840
k__Archaea|p__Euryarchaeota|c__Halobacteria	1.12545	0.223679445393	3660146	818699
k__Bacteria|p__Firmicutes|c__Bacilli	1.05233	0.209145975667	2708875	566550
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_limicola|t__GCF_000020465	1.2479	0.248014474364	2763181	685309
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor_saccharolyticus|t__GCF_000016545	1.1814	0.2347976308	2970275	697414
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__GCF_000156375	1.17287	0.233102483386	2867216	668355
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella|s__Wolinella_succinogenes|t__GCF_000196135	1.16885	0.232304624854	2110355	490245
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloferax|s__Haloferax_volcanii|t__GCF_000337315	1.12545	0.223679445393	3866754	864913
