#Sequence_Id	Database_OTU	FLAG	MAPQ	Classification
4|SRR606249.3318125_HWI-ST829:109:D073EACXX:2:1104:10030:74351_length=101	3950373	16	1	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_3950373
17|SRR606249.12603052_HWI-ST829:109:D073EACXX:2:1204:7269:65341_length=101	108977	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacter; Unclassified; otu_108977
12|SRR606249.54665171_HWI-ST829:109:D073EACXX:2:2308:13307:183133_length=101	4404461	0	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Unclassified; otu_4404461
10|SRR606249.15168206_HWI-ST829:109:D073EACXX:2:1206:4375:120598_length=101	16092	0	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_16092
13|SRR606249.8585909_HWI-ST829:109:D073EACXX:2:1108:16443:63144_length=101	239802	0	1	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; Unclassified; otu_239802
3|SRR606249.20769176_HWI-ST829:109:D073EACXX:2:1303:15779:101875_length=101	3726188	0	1	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Unclassified; otu_3726188
1|SRR606249.54362339_HWI-ST829:109:D073EACXX:2:2308:18998:146912_length=101	4483950	0	1	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter; Unclassified; otu_4483950
15|SRR606249.33807998_HWI-ST829:109:D073EACXX:2:2106:6976:164177_length=101	3150269	0	1	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Syntrophaceae_Group; Unclassified; otu_3150269
2|SRR606249.18201461_HWI-ST829:109:D073EACXX:2:1208:16064:167357_length=101	147681	0	1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Candidatus_Riesia; endosymbiont_of_Trichobius_caecus; otu_147681
25|SRR606249.15919344_HWI-ST829:109:D073EACXX:2:1207:12033:40730_length=101	16103	16	1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Caldicellulosiruptoraceae; Caldicellulosiruptor; saccharolyticus; otu_16103
